artist,name,length,link,count
1 Queen,Bohemian Rhapsody,05:59,https://www.youtube.com/watch?v=fJ9rUzIMcZQ,0
2 The Weekenc,Blinding Lights,04:22,https://www.youtube.com/watch?v=4NRXx6U8ABQ,0
3 Ed Sheeran,Shape Of You,04:23,https://www.youtube.com/watch?v=JGwWNGJdw8,0
4 Eagles,Hotel California,06:44,https://www.youtube.com/watch?v=09839DpTcIU,0
5 Michael Jaci,Billie Alean,04:55,https://www.youtube.com/watch?v=ZLXLOBDo_Y,0
6 Adele,Some One Like You,04:44,https://www.youtube.com/watch?v=hLQlSWQQoQ0,0
7 Nirvana,Smells Like Teen Spirit,04:38,https://www.youtube.com/watch?v=hTWKbGokeg,0
8 The beatles,Yesterday,02:02,https://www.youtube.com/watch?v=WSuVCyT63ll,0
9 Mark Ronson,Uptown Funk,04:30,https://www.youtube.com/watch?v=OPfVtXqDm0,0
10 Rick Astley,Never Gonna Give You Up,03:32,https://www.youtube.com/watch?v=dQwAw9WgXcQ,0
